From,Total_Value_IN
0xfeb620b14a9c3683cecb9097802af9c32e51c701,0.1
0x01eecd6b7b596e526297938f57f1711438400fa3,0.1
0x01e9412223bd35e8f0d33d6fe52aedfd34e326e3,0.1
0xfeef1a0eb9fd62393ffa9af3a34b25aef0cb14fd,0.1
0xfeed8093e2ce19bee86327f1e0cfc3b4fecab3c5,0.1
0xfeec66e24b298c94615720bd30a2528c44f62924,0.1
0x01c9ea664b6d06bc4609cec8e75dd600221e1c36,0.1
0x01c15aaae7f194844ab7571b5787086b167cf6b2,0.1
0x6f620ba7907a3d9a6dda9821eeb4e59b3f69c367,0.1
0xc433ebfa139edf3bc0215dfd0609a2afcd84c00d,0.1
0xc43055a75c28d1cd3927998557ce1f85249c1d12,0.1
0x01a1f77aa31a748e36e31b7acfff73a0a53e2200,0.1
0xe653f944dc8d8796049143401ee5a1ae9b899964,0.1
0xe652427ed92836fe7b5aafb6491723068c8ebfec,0.1
0x2ee26e0f8a1c5fa93328709d55112fc1bc039f31,0.1
0x2ee1a0a239e27215740d93c1af6d4395bd9387ba,0.1
0x2ed891440322206d9213a3db88ad42f97b978de5,0.1
0x2f116785e09488737ae32fdc699da93f03828068,0.1
0x2f02c976a0311e7edac8a465d151d20b2be7bf28,0.1
0x2ef08acd2b6a28282bb52a895a83b978b71b5f44,0.1
0xfed2aab18885a473bc06ebd19d09132425825fbd,0.1
0xfec14dfd8378e9cfe06f7cbc7d1aa988258aa01e,0.1
0xa63dff9f5d002e68fdecc4b5e3cb6acdecc82422,0.1
0xa63a0d7620a0775c08e8af7f6a219872856ffe52,0.1
0xa625e3897fd7354c78e0ee0cbb565f84446a110b,0.1
0x6f25865e0cd6aa0eaed6d7117b8bc6c848deed77,0.1
0x6f137a14a8f63bf63ab57c5c7ea84d8a79776349,0.1
0xc235998ecd290e2e73b799385e87099c9f2e4912,0.1
0x7313fbc5ed80c1d376733ce1a8670f6fb1bff6d7,0.1
0x6e8ba6a1016e8a4ef4f6a382685e33f224d0ad73,0.1
